,address,lat,lon,name
0,"62-16 Woodhaven Blvd, Middle Village, NY 11379, USA",40.7264847,-73.8707486,taste of samarkand
1,"9209 63rd Dr, Rego Park, NY 11374, USA",40.7276623,-73.8640647,cheburechnaya
2,"155 5th Ave, Brooklyn, NY 11217, USA",40.67792929999999,-73.9792599,nargis bar and grill
3,"2818 Coney Island Ave, Brooklyn, NY 11235, USA",40.587855,-73.9607051,nargis cafe
5,"3071 Brighton 4th St, Brooklyn, NY 11235, USA",40.57763399999999,-73.963284,cafe at your mother-in-law
8,"101-05 Queens Blvd, Flushing, NY 11375, USA",40.7267664,-73.8517069,cafe arzu
9,"4210 18th Ave, Brooklyn, NY 11218, USA",40.631801,-73.975537,emir palace
11,"1141 Brighton Beach Ave, Brooklyn, NY 11235, USA",40.5777665,-73.95554050000001,kashkar cafe
12,"2663 Coney Island Ave, Brooklyn, NY 11223, USA",40.59185649999999,-73.9604236,palmyra
14,"41 W 47th St, New York, NY 10036, USA",40.75770299999999,-73.9805192,taam tov
15,"42 Avenue O, Brooklyn, NY 11204, USA",40.61006700000001,-73.983566,cafe lily
16,"1969 Bath Ave, Brooklyn, NY 11214, USA",40.6016701,-74.0016042,lazzat
18,"461 Kings Hwy, Brooklyn, NY 11223, USA",40.6044914,-73.9727786,chorsu samarkanda
20,"3915 18th Ave, Brooklyn, NY 11218, USA",40.6325581,-73.97285409999999,tandir express
21,"1920 Avenue U, Brooklyn, NY 11229, USA",40.59915549999999,-73.95185719999999,padishah
23,"5008, 2158 Bath Ave, Brooklyn, NY 11214, USA",40.5986998,-73.9980008,chaykhana#1
26,"238 Kings Hwy, Brooklyn, NY 11223, USA",40.6051967,-73.981888,almaz
27,"1788 Sheepshead Bay Rd, Brooklyn, NY 11235, USA",40.5840039,-73.9509487,cafe dushanbe
28,"1917 Avenue U, Brooklyn, NY 11229, USA",40.59951,-73.952078,sherdor restaurant
29,"8611 19th Ave, Brooklyn, NY 11214, USA",40.6055758,-74.0005924,elza fancy food
33,"696 Coney Island Ave, Brooklyn, NY 11218, USA",40.6405079,-73.969487,samir
34,"548 Lincoln Ave, Staten Island, NY 10306, USA",40.5720145,-74.0950829,cafe gourmand
37,"92-07 Rockaway Beach Blvd, Far Rockaway, NY 11693, USA",40.58617,-73.815637,uma's
39,"9904 63rd Rd, Queens, NY 11374, USA",40.732373,-73.8567077,tandoori food & bakery
40,"6361 108th St, Forest Hills, NY 11375, USA",40.7334787,-73.8494608,salute
41,"2689 Coney Island Ave, Brooklyn, NY 11235, USA",40.5910115,-73.96037749999999,oasis cafe
42,"416 Ditmas Ave, Brooklyn, NY 11218, USA",40.6357454,-73.97444709999999,café afsona
49,"1797 McDonald Ave, Brooklyn, NY 11230, USA",40.60913949999999,-73.9728662,cupola samarkanda ii
56,"101-15 Queens Blvd, Forest Hills, NY 11375, USA",40.726622,-73.851666,stix kosher restaurant
59,"504 Brighton Beach Ave, Brooklyn, NY 11235, USA",40.5773405,-73.9622157,russian-uzbek food домашняя кухня
